cat_id,exchange,industry_name,code,name,url
5,UPCoM,Nguyên vật liệu,ALV,CTCP Xây dựng ALVICO,https://finance.vietstock.vn/ALV-ctcp-xay-dung-alvico.htm
2,HNX,Nguyên vật liệu,AMC,CTCP Khoáng sản Á Châu,https://finance.vietstock.vn/AMC-ctcp-khoang-san-a-chau.htm
5,UPCoM,Phân phối và bán lẻ hàng lâu bền,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,https://finance.vietstock.vn/AMD-ctcp-dau-tu-va-khoang-san-flc-stone.htm
2,HNX,Tư liệu sản xuất,AME,CTCP Alphanam E&C,https://finance.vietstock.vn/AME-ctcp-alphanam-ec.htm
5,UPCoM,Phân phối và bán lẻ hàng lâu bền,AMP,CTCP Armephaco,https://finance.vietstock.vn/AMP-ctcp-armephaco.htm
5,UPCoM,Tư liệu sản xuất,AMS,CTCP Cơ khí Xây dựng AMECC,https://finance.vietstock.vn/AMS-ctcp-co-khi-xay-dung-amecc.htm
2,HNX,Dịch vụ và thiết bị chăm sóc sức khỏe,AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,https://finance.vietstock.vn/AMV-ctcp-san-xuat-kinh-doanh-duoc-va-trang-thiet-bi-y-te-viet-my.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",ANT,CTCP Rau quả Thực phẩm An Giang,https://finance.vietstock.vn/ANT-ctcp-rau-qua-thuc-pham-an-giang.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ANV,CTCP Nam Việt,https://finance.vietstock.vn/ANV-ctcp-nam-viet.htm
5,UPCoM,Dịch vụ chuyên biệt và thương mại,APC,CTCP Chiếu xạ An Phú,https://finance.vietstock.vn/APC-ctcp-chieu-xa-an-phu.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",APF,CTCP Nông sản Thực phẩm Quảng Ngãi,https://finance.vietstock.vn/APF-ctcp-nong-san-thuc-pham-quang-ngai.htm
1,HOSE,Dịch vụ tài chính,APG,CTCP Chứng khoán APG,https://finance.vietstock.vn/APG-ctcp-chung-khoan-apg.htm
1,HOSE,Nguyên vật liệu,APH,CTCP Tập đoàn An Phát Holdings,https://finance.vietstock.vn/APH-ctcp-tap-doan-an-phat-holdings.htm
2,HNX,Phát triển và quản lý bất động sản,API,CTCP Đầu tư Châu Á - Thái Bình Dương,https://finance.vietstock.vn/API-ctcp-dau-tu-chau-a-thai-binh-duong.htm
5,UPCoM,Phân phối và bán lẻ hàng lâu bền,APL,CTCP Cơ khí và Thiết bị áp lực - VVMI,https://finance.vietstock.vn/APL-ctcp-co-khi-va-thiet-bi-ap-luc-vvmi.htm
5,UPCoM,Năng lượng,APP,CTCP Phát triển Phụ gia và Sản phẩm Dầu Mỏ,https://finance.vietstock.vn/APP-ctcp-phat-trien-phu-gia-va-san-pham-dau-mo.htm
2,HNX,Dịch vụ tài chính,APS,CTCP Chứng khoán Châu Á Thái Bình Dương,https://finance.vietstock.vn/APS-ctcp-chung-khoan-chau-a-thai-binh-duong.htm
5,UPCoM,"Thực phẩm, đồ uống và thuốc lá",APT,CTCP Kinh doanh Thủy Hải Sản Sài Gòn,https://finance.vietstock.vn/APT-ctcp-kinh-doanh-thuy-hai-san-sai-gon.htm
2,HNX,Vận tải,ARM,CTCP Xuất nhập khẩu Hàng không,https://finance.vietstock.vn/ARM-ctcp-xuat-nhap-khau-hang-khong.htm
5,UPCoM,Dịch vụ tài chính,ART,CTCP Chứng khoán BOS,https://finance.vietstock.vn/ART-ctcp-chung-khoan-bos.htm
5,UPCoM,Tư liệu sản xuất,ASA,CTCP ASA,https://finance.vietstock.vn/ASA-ctcp-asa.htm
1,HOSE,Vận tải,ASG,CTCP Tập đoàn ASG,https://finance.vietstock.vn/ASG-ctcp-tap-doan-asg.htm
1,HOSE,"Thực phẩm, đồ uống và thuốc lá",ASM,CTCP Tập đoàn Sao Mai,https://finance.vietstock.vn/ASM-ctcp-tap-doan-sao-mai.htm
1,HOSE,Dịch vụ tiện ích,ASP,CTCP Tập đoàn Dầu khí An Pha,https://finance.vietstock.vn/ASP-ctcp-tap-doan-dau-khi-an-pha.htm
1,HOSE,Vận tải,AST,CTCP Dịch vụ Hàng không Taseco,https://finance.vietstock.vn/AST-ctcp-dich-vu-hang-khong-taseco.htm
