stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
HAP,2024-12-05,0,2.21,0,0,0.73,118,36.38,9.22,11694,0.37
HAN,2024-12-05,0,0,300,0.03,1.41,432,23.40,31.45,11469,0.88
HAS,2024-12-05,0,15.33,50,0.01,0.47,-553,-14.27,12.64,16921,0.47
HBC,2024-12-05,100,10.44,0,0,1.32,2921,1.71,4.01,4739,1.05
HAV,2024-12-05,0,0,0,0,1.08,0,0,2126.97,0,0
HAX,2024-12-05,67600,16.82,300,0.02,1.32,1145,13.54,8.33,12601,1.23
HAT,2024-12-05,0,5.04,3000,0.07,-0.80,8247,5.09,7.02,24476,1.72
HBD,2024-12-05,0,0.47,1400,0.08,0.09,1348,12.98,9.89,14685,1.19
HBH,2024-12-05,0,2,0,0,-0.30,-130,-38.38,82.99,9842,0.51
HBS,2024-12-05,0,0.18,2000,0.31,1.71,437,14.88,4.66,10960,0.59
HC1,2024-12-05,0,0,1000,0.09,0.66,482,22.42,7.05,24076,0.45
HC3,2024-12-05,100,0.20,3000,0.11,-2.09,2016,13.59,12.60,34399,0.80
HCD,2024-12-05,0,0,0,0,0.89,1450,5.91,5.21,12906,0.66
HCC,2024-12-05,0,13.05,1200,0.10,-0.20,1634,7.34,5.67,12707,0.94
HCB,2024-12-05,0,0,2000,0.10,-0.32,0,0,4.55,0,0
HCI,2024-12-05,0,0,0,0,0,0,0,23.02,0,0
HCM,2024-12-05,311600,44.96,1178,0.04,1.91,1680,16.13,16.47,14286,1.90
HD6,2024-12-05,0,0,1000,0.07,1.39,1156,12.15,4.72,20843,0.67
HCT,2024-12-05,0,0.38,0,0,0,-883,-10.87,40.33,18880,0.51
HD2,2024-12-05,0,0.06,0,0,0.41,1854,9.64,47.12,16430,1.09
HD8,2024-12-05,0,0,1300,0.16,0.04,0,0,113.89,0,0
HDA,2024-12-05,0,0,0,0,0.72,-75,-50.45,6.56,12068,0.31
HDB,2024-12-05,1286200,16.53,1000,0.04,1,4478,5.78,5.98,18398,1.41
HDG,2024-12-05,1093700,18.31,500,0.02,1.91,2305,12.52,9.98,22465,1.28
HDC,2024-12-05,237600,3.01,0,0,1.63,790,32.53,10.81,12728,2.02
HDM,2024-12-05,0,0.06,6000,0.18,0.63,5194,6.58,6.24,21015,1.63
HDO,2024-12-05,0,0.44,0,0,0,-6236,-0.06,4.52,-9279,-0.04
HDS,2024-12-05,0,0,0,0,0,41,201.70,20.03,10224,0.81
HDP,2024-12-05,0,0,1200,0.07,0.12,434,41.97,12.05,13684,1.33
HEC,2024-12-05,0,0,4500,0.08,0.19,0,0,7.47,0,0
HDW,2024-12-05,0,0.04,792,0.05,-0.95,1508,9.68,10.34,14083,1.04
HEP,2024-12-05,0,0.72,1039,0.06,-0.11,0,0,7.27,0,0
HEJ,2024-12-05,0,0,0,0,-0.07,0,0,57.30,0,0
HES,2024-12-05,0,0,0,0,-0.23,515,92.18,31.70,12500,3.80
HFC,2024-12-05,0,0,0,0,2.70,0,0,7.63,0,0
HEV,2024-12-05,0,2.34,0,0,-0.08,-1208,-18.13,43.80,12209,1.79
HFX,2024-12-05,0,0,0,0,-1.24,0,0,4.95,0,0
HGT,2024-12-05,0,49,0,0,-1.07,3537,2.88,59.82,10695,0.95
HGM,2024-12-05,0,0.19,5500,0.03,0.09,11214,15.87,44.86,25910,6.87
HFB,2024-12-05,0,0,850,0.10,-1.54,0,0,11.78,0,0
HHC,2024-12-05,0,0.22,0,0,-0.50,2916,39.09,26.75,38597,2.95
HHN,2024-12-05,0,0,1200,2.40,0,0,0,0.55,0,0
