stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
BAF,2024-05-11,187000.0,2.3,,,1.11,1104.0,20.53,17.7,11857.0,1.91
BAL,2024-05-11,,0.08,700.0,0.08,0.16,,,18.12,,
BAX,2024-05-11,,16.33,2500.0,0.06,0.06,3610.0,11.0,15.7,26963.0,1.47
BBC,2024-05-11,,0.73,1500.0,0.03,0.12,7085.0,7.06,8.49,78292.0,0.64
BBH,2024-05-11,,,200.0,0.02,-0.75,,,40.99,,
BBM,2024-05-11,,0.25,200.0,0.03,1.09,1448.0,5.18,26.27,13753.0,0.55
BBS,2024-05-11,,0.53,900.0,0.08,0.1,1423.0,7.94,15.78,17721.0,0.64
BBT,2024-05-11,,0.8,,,-1.11,-2060.0,-7.2,17.08,7233.0,2.05
BCA,2024-05-11,,,,,2.15,20691.0,0.53,21.03,28219.0,0.39
BCB,2024-05-11,,,2919.0,4.17,,28.0,24.84,0.2,10028.0,0.07
BCC,2024-05-11,,0.93,,,1.1,-1082.0,-7.03,5.89,14097.0,0.54
BCE,2024-05-11,,1.83,,,0.61,-240.0,-24.56,8.01,8827.0,0.67
BCF,2024-05-11,,,1800.0,0.05,-0.49,3069.0,13.03,16.95,12222.0,3.27
BCG,2024-05-11,47800.0,1.45,,,1.48,341.0,19.25,6.07,24196.0,0.27
BCM,2024-05-11,4000.0,2.03,1800.0,0.03,1.16,2796.0,23.53,28.98,19392.0,3.39
BCO,2024-05-11,,,,,,,,10.32,,
BCP,2024-05-11,,3.26,,,0.2,77.0,151.53,116.33,12606.0,0.93
BCR,2024-05-11,,0.01,,,1.86,210.0,26.02,6.12,12713.0,0.43
BCV,2024-05-11,,,,,,194.0,111.09,30.71,11704.0,1.84
BDB,2024-05-11,,,800.0,0.09,-0.03,648.0,13.42,8.17,11858.0,0.73
BDG,2024-05-11,,1.42,2500.0,0.07,0.55,5882.0,5.94,9.21,23059.0,1.51
