Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
07/03/2024,237000000,237000000,18600,21300,15900,21100,394,4456,18500,18800,18800,18500,300,18689,18300,200.0,1.08,2185,1798,162400,129900.0,21100,394,84,84,-,183500,151000,32500,-,
06/03/2024,237000000,237000000,18600,21300,15900,35804,667,4385,18700,18500,18700,18500,200,18617,18000,-100.0,-0.54,2308,1894,128096,151696.0,35804,667,71,99,-28,163900,187500,-23600,-,
05/03/2024,237000000,237000000,18600,21300,15900,28220,525,4385,18600,18500,18700,18500,200,18590,18000,-100.0,-0.54,2559,2464,163680,151680.0,28220,525,75,73,2,191900,179900,12000,-,
04/03/2024,237000000,237000000,18600,21300,15900,40210,749,4385,18600,18500,18800,18500,300,18621,18000,-100.0,-0.54,1135,1613,57390,125890.0,40210,749,86,103,-17,97600,166100,-68500,-,
01/03/2024,237000000,237000000,18600,21300,15900,6300,117,4408,18600,18600,18600,18500,100,18594,18100,,,1642,2439,67600,181500.0,6300,117,45,77,-32,73900,187800,-113900,-,
29/02/2024,237000000,237000000,18700,21500,15900,48503,902,4385,18800,18500,18800,18500,300,18594,18000,-200.0,-1.07,1296,2145,73297,170297.0,48503,902,94,102,-8,121800,218800,-97000,-,
28/02/2024,237000000,237000000,18700,21500,15900,57802,1081,4432,18800,18700,18800,18600,200,18697,18200,,,1874,2284,99598,177498.0,57802,1081,84,103,-19,157400,235300,-77900,-,
27/02/2024,237000000,237000000,18600,21300,15900,21310,399,4432,18700,18700,18900,18600,300,18732,18200,100.0,0.54,1535,2042,84590,174690.0,21310,399,69,96,-27,105900,196000,-90100,-,
26/02/2024,237000000,237000000,18800,21600,16000,38310,714,4432,18600,18700,18700,18500,200,18626,18200,-100.0,-0.53,1358,2288,64890,140190.0,38310,714,76,78,-2,103200,178500,-75300,-,
23/02/2024,237000000,237000000,19600,22500,16700,88629,1667,4385,19400,18500,19400,18500,900,18807,18000,-1100.0,-5.61,877,2107,39371,269571.0,88629,1667,146,170,-24,128000,358200,-230200,-,
22/02/2024,237000000,237000000,18500,21200,15800,208073,4073,4550,18600,19200,20600,18400,2200,19577,18700,700.0,3.78,2845,2584,99227,195027.0,208073,4073,108,156,-48,307300,403100,-95800,-,
21/02/2024,237000000,237000000,18600,21300,15900,26229,486,4408,18900,18600,18900,18500,400,18548,18100,,,1665,2323,86971,168871.0,26229,486,68,84,-16,113200,195100,-81900,-,
20/02/2024,237000000,237000000,18600,21300,15900,57220,1064,4408,18700,18600,18700,18600,100,18603,18100,,,1506,2813,58727,210058.0,57220,1064,77,95,-18,115947,267278,-151331,-,
19/02/2024,237000000,237000000,18300,21000,15600,75956,1415,4432,18300,18700,18900,18300,600,18634,18200,400.0,2.19,2236,1891,136480,126409.0,75956,1415,95,107,-12,212436,202365,10071,-,
16/02/2024,237000000,237000000,18300,21000,15600,23402,428,4361,18300,18400,18400,18100,300,18279,17900,100.0,0.55,1030,2413,75508,121381.0,23402,428,96,60,36,98910,144783,-45873,-,
15/02/2024,237000000,237000000,18300,21000,15600,45582,833,4337,18300,18300,18500,18100,400,18267,17800,,,1060,2898,62525,137014.0,45582,833,102,63,39,108107,182596,-74489,-,
07/02/2024,237000000,237000000,18200,20900,15500,24200,442,4337,18200,18300,18400,18200,200,18279,17800,100.0,0.55,1104,2091,42043,99180.0,24200,442,60,59,1,66243,123380,-57137,-,
06/02/2024,237000000,237000000,18400,21100,15700,28500,520,4337,18500,18300,18500,18100,400,18246,17800,-100.0,-0.54,886,1856,36158,82880.0,28500,520,73,60,13,64658,111380,-46722,-,
05/02/2024,237000000,237000000,18400,21100,15700,11100,205,4385,18500,18500,18600,18300,300,18442,18000,100.0,0.54,1218,1885,71750,101980.0,11100,205,68,60,8,82850,113080,-30230,-,
02/02/2024,237000000,237000000,18400,21100,15700,27832,511,4337,18600,18300,18600,18300,300,18378,17800,-100.0,-0.54,1095,1906,81680,111301.0,27832,511,100,73,27,109512,139133,-29621,-,
01/02/2024,237000000,237000000,19000,21800,16200,89218,1643,4408,18800,18600,19000,17500,1500,18420,18100,-400.0,-2.11,966,2537,74019,141609.0,89218,1643,169,91,78,163237,230827,-67590,-,
31/01/2024,237000000,237000000,19000,21800,16200,34810,662,4456,19200,18800,19200,18800,400,19015,18300,-200.0,-1.05,708,1781,14016,169986.0,34810,662,69,115,-46,48826,204796,-155970,-,
30/01/2024,237000000,237000000,18300,21000,15600,152842,2905,4550,18500,19200,19200,18500,700,19008,18700,900.0,4.92,1288,1626,58460,143077.0,152842,2905,164,182,-18,211302,295919,-84617,-,
29/01/2024,237000000,237000000,18300,21000,15600,21300,389,4361,18300,18400,18500,18200,300,18262,17900,100.0,0.55,1069,1743,28964,105968.0,21300,389,47,73,-26,50264,127268,-77004,-,
26/01/2024,237000000,237000000,18400,21100,15700,5100,93,4337,18500,18300,18500,18300,200,18316,17800,-100.0,-0.54,986,2123,28411,122253.0,5100,93,34,60,-26,33511,127353,-93842,-,
25/01/2024,237000000,237000000,18500,21200,15800,9702,178,4361,18400,18400,18400,18300,100,18387,17900,-100.0,-0.54,768,1831,15650,147746.0,9702,178,33,86,-53,25352,157448,-132096,-,
24/01/2024,237000000,237000000,18500,21200,15800,16900,312,4385,18700,18500,18700,18300,400,18459,18000,,,805,2020,22549,152769.0,16900,312,49,84,-35,39449,169669,-130220,-,
23/01/2024,237000000,237000000,18300,21000,15600,21600,400,4408,18400,18600,18600,18400,200,18518,18100,300.0,1.64,838,1681,22801,166685.0,21600,400,53,112,-59,44401,188285,-143884,-,
22/01/2024,237000000,237000000,18200,20900,15500,12900,236,4337,18300,18300,18400,18200,200,18302,17800,100.0,0.55,644,1896,16072,134968.0,12900,236,45,78,-33,28972,147868,-118896,-,
19/01/2024,237000000,237000000,18200,20900,15500,6200,113,4361,18200,18400,18400,18200,200,18232,17900,200.0,1.1,975,2261,24021,147559.0,6200,113,31,68,-37,30221,153759,-123538,-,
18/01/2024,237000000,237000000,18200,20900,15500,2100,38,4313,18100,18200,18200,18100,100,18181,17700,,,1033,1904,24751,117880.0,2100,38,26,63,-37,26851,119980,-93129,-,
17/01/2024,237000000,237000000,18100,20800,15400,14300,260,4313,18100,18200,18300,18100,200,18198,17700,100.0,0.55,1212,1620,32962,92647.0,14300,260,39,66,-27,47262,106947,-59685,-,
16/01/2024,237000000,237000000,18000,20700,15300,3801,69,4290,18000,18100,18200,18000,200,18050,17600,100.0,0.56,632,2058,18960,111441.0,3801,69,36,56,-20,22761,115242,-92481,-,
15/01/2024,237000000,237000000,18000,20700,15300,1093400,18577,4242,18100,17900,18100,17800,300,17960,17400,-100.0,-0.56,703,1854,18229,83003.0,13400,241,45,52,-7,31629,96403,-64774,1080000,18336.0
12/01/2024,237000000,237000000,18200,20900,15500,24956,450,4242,18200,17900,18200,17900,300,18037,17400,-300.0,-1.65,802,1854,16738,73324.0,24956,450,52,53,-1,41694,98280,-56586,-,
11/01/2024,237000000,237000000,18200,20900,15500,7504,137,4313,18200,18200,18300,18200,100,18247,17700,,,1290,1482,35065,81434.0,7504,137,33,60,-27,42569,88938,-46369,-,
10/01/2024,237000000,237000000,18300,21000,15600,7854200,124143,4313,18200,18200,18300,18200,100,18230,17700,-100.0,-0.55,1144,1937,19805,101023.0,19100,348,34,62,-28,38905,120123,-81218,7835100,123795.0
09/01/2024,237000000,237000000,18400,21100,15700,6205,114,4337,18400,18300,18400,18300,100,18311,17800,-100.0,-0.54,872,2271,26043,148197.0,6205,114,37,68,-31,32248,154402,-122154,-,
08/01/2024,237000000,237000000,18300,21000,15600,15323,282,4337,18300,18300,18700,18300,400,18422,17800,,,1075,1603,25542,108121.0,15323,282,38,77,-39,40865,123444,-82579,-,
05/01/2024,237000000,237000000,18300,21000,15600,4600,84,4337,18400,18300,18400,18200,200,18261,17800,,,603,1414,23754,88732.0,4600,84,47,66,-19,28354,93332,-64978,-,
04/01/2024,237000000,237000000,18300,21000,15600,11420,209,4337,18300,18300,18400,18200,200,18303,17800,,,690,1924,18935,154014.0,11420,209,44,86,-42,30355,165434,-135079,-,
03/01/2024,237000000,237000000,18000,20700,15300,22800,416,4385,18000,18500,18500,17900,600,18257,18000,500.0,2.78,1032,1615,61849,135429.0,22800,416,82,98,-16,84649,158229,-73580,-,
02/01/2024,237000000,237000000,18100,20800,15400,9840,178,4290,18000,18100,18100,18000,100,18041,17600,,,813,2035,40538,93929.0,9840,178,62,51,11,50378,103769,-53391,-,
29/12/2023,237000000,237000000,18300,21000,15600,18200,330,4290,18200,18100,18300,18100,200,18131,17600,-200.0,-1.09,1039,2494,29580,168833.0,18200,330,46,75,-29,47780,187033,-139253,-,
28/12/2023,237000000,237000000,18300,21000,15600,4210,77,4337,18300,18300,18400,18300,100,18302,17800,,,990,2468,30430,166094.0,4210,77,35,69,-34,34640,170304,-135664,-,
27/12/2023,237000000,237000000,18200,20900,15500,494250,8421,4337,18300,18300,18400,18300,100,18301,17800,100.0,0.55,1006,1969,23961,129519.0,14250,261,38,73,-35,38211,143769,-105558,480000,8160.0
26/12/2023,237000000,237000000,18100,20800,15400,622300,10582,4337,18200,18300,18300,18100,200,18204,17800,200.0,1.1,869,1669,35930,102842.0,22300,406,67,75,-8,58230,125142,-66912,600000,10176.0
25/12/2023,237000000,237000000,18100,20800,15400,9400,170,4290,18100,18100,18300,18000,300,18078,17600,,,782,2004,24230,108809.0,9400,170,43,59,-16,33630,118209,-84579,-,
22/12/2023,237000000,237000000,18200,20900,15500,7200,130,4290,18200,18100,18200,18000,200,18111,17600,-100.0,-0.55,791,2429,30791,126409.0,7200,130,48,55,-7,37991,133609,-95618,-,
21/12/2023,237000000,237000000,18300,21000,15600,900,16,4313,18200,18200,18200,18200,-,18200,17700,-100.0,-0.55,1052,2282,25412,133709.0,900,16,25,59,-34,26312,134609,-108297,-,
20/12/2023,237000000,237000000,18300,21000,15600,7400,135,4337,18300,18300,18300,18100,200,18292,17800,,,1009,1693,23881,112779.0,7400,135,31,71,-40,31281,120179,-88898,-,
19/12/2023,237000000,237000000,18300,21000,15600,10239600,210416,4337,18300,18300,18300,18200,100,18294,17800,,,1270,1892,35081,120576.0,8100,148,34,68,-34,43181,128676,-85495,10231500,210268.0
18/12/2023,237000000,237000000,18500,21200,15800,1505900,31758,4313,18500,18200,18500,18200,300,18303,17700,-300.0,-1.62,972,2447,32981,192282.0,5900,108,40,81,-41,38881,198182,-159301,1500000,31650.0
15/12/2023,237000000,237000000,18100,20800,15400,30203,558,4503,18100,19000,19000,18100,900,18471,18500,900.0,4.97,1310,1689,19578,67779.0,30203,558,38,58,-20,49781,97982,-48201,-,
14/12/2023,237000000,237000000,18000,20700,15300,20500,371,4313,18000,18200,18300,17900,400,18096,17700,200.0,1.11,915,1858,32591,118876.0,20500,371,58,75,-17,53091,139376,-86285,-,
13/12/2023,237000000,237000000,18000,20700,15300,1017010,18306,4266,18100,18000,18400,17900,500,17965,17500,,,966,2075,37108,117891.0,17010,306,56,65,-9,54118,134901,-80783,1000000,18000.0
12/12/2023,237000000,237000000,18000,20700,15300,6011,108,4266,18000,18000,18000,18000,-,18000,17500,,,517,1514,18785,69708.0,6011,108,48,50,-2,24796,75719,-50923,-,
11/12/2023,237000000,237000000,18200,20900,15500,15200,274,4242,18100,17900,18200,17800,400,18017,17400,-300.0,-1.65,813,1668,53905,94887.0,15200,274,85,66,19,69105,110087,-40982,-,
08/12/2023,237000000,237000000,18200,20900,15500,18600,338,4266,18300,18000,18300,18000,300,18171,17500,-200.0,-1.1,1143,1633,43136,85887.0,18600,338,54,64,-10,61736,104487,-42751,-,
07/12/2023,237000000,237000000,18300,21000,15600,26300,477,4337,18300,18300,18400,18000,400,18154,17800,,,977,1827,47946,114399.0,26300,477,76,77,-1,74246,140699,-66453,-,
06/12/2023,237000000,237000000,18300,21000,15600,45400,831,4385,18400,18500,18500,18100,400,18309,18000,200.0,1.09,1174,1779,52081,125404.0,45400,831,83,96,-13,97481,170804,-73323,-,
05/12/2023,237000000,237000000,18100,20800,15400,12200,223,4337,18100,18300,18400,18000,400,18259,17800,200.0,1.1,914,2228,31667,141504.0,12200,223,48,69,-21,43867,153704,-109837,-,
04/12/2023,237000000,237000000,18100,20800,15400,16309,296,4337,18400,18300,18400,18000,400,18144,17800,200.0,1.1,1004,1362,35915,91287.0,16309,296,52,79,-27,52224,107596,-55372,-,
01/12/2023,237000000,237000000,18200,20900,15500,15800,286,4337,18200,18300,18300,18000,300,18094,17800,100.0,0.55,1010,2157,32684,96384.0,15800,286,48,52,-4,48484,112184,-63700,-,
30/11/2023,237000000,237000000,18200,20900,15500,3065,56,4313,18300,18200,18300,18100,200,18193,17700,,,1073,1697,47344,80087.0,3065,56,47,49,-2,50409,83152,-32743,-,
29/11/2023,237000000,237000000,18200,20900,15500,1100,20,4313,18400,18200,18400,18200,200,18236,17700,,,1098,1820,38444,113578.0,1100,20,36,63,-27,39544,114678,-75134,-,
28/11/2023,237000000,237000000,18200,20900,15500,11910,217,4313,18000,18200,18300,18000,300,18203,17700,,,1424,2241,42215,122566.0,11910,217,38,60,-22,54125,134476,-80351,-,
27/11/2023,237000000,237000000,18100,20800,15400,491900,8904,4290,18300,18100,18300,18100,200,18242,17600,,,972,2707,35030,168630.0,1900,35,38,63,-25,36930,170530,-133600,490000,8869.0
24/11/2023,237000000,237000000,18200,20900,15500,6000,108,4290,18100,18100,18200,18000,200,18075,17600,-100.0,-0.55,598,1588,28103,86086.0,6000,108,57,58,-1,34103,92086,-57983,-,
23/11/2023,237000000,237000000,18400,21100,15700,15240,278,4266,18400,18000,18500,18000,500,18208,17500,-400.0,-2.17,470,1468,15301,119856.0,15240,278,65,92,-27,30541,135096,-104555,-,
22/11/2023,237000000,237000000,19200,22000,16400,11710,216,4361,18600,18400,18700,18400,300,18430,17900,-800.0,-4.17,729,1112,35675,98338.0,11710,216,65,99,-34,47385,110048,-62663,-,
21/11/2023,237000000,237000000,18000,20700,15300,42550,816,4432,18500,18700,19900,17900,2000,19169,18200,700.0,3.89,1544,1379,46999,114627.0,42550,816,58,114,-56,89549,157177,-67628,-,
20/11/2023,237000000,237000000,18200,20900,15500,6006,108,4290,18100,18100,18200,17700,500,17963,17600,-100.0,-0.55,735,790,38844,26387.0,6006,108,61,41,20,44850,32393,12457,-,
17/11/2023,237000000,237000000,18500,21200,15800,81510,1499,4290,18400,18100,18500,18000,500,18161,17600,-400.0,-2.16,867,1117,42733,52897.0,27510,500,81,72,9,70243,80407,-10164,54000,999.0
16/11/2023,237000000,237000000,18400,21100,15700,14400,266,4337,18500,18300,18500,18300,200,18464,17800,-100.0,-0.54,1354,1283,37052,74097.0,14400,266,38,69,-31,51452,88497,-37045,-,
15/11/2023,237000000,237000000,18300,21000,15600,8500,156,4337,18600,18300,18600,18300,300,18382,17800,,,876,1150,30939,88097.0,8500,156,45,84,-39,39439,96597,-57158,-,
14/11/2023,237000000,237000000,18500,21200,15800,41700,764,4361,18400,18400,18500,18100,400,18310,17900,-100.0,-0.54,1153,1676,35533,72273.0,41700,764,67,68,-1,77233,113973,-36740,-,
13/11/2023,237000000,237000000,18500,21200,15800,10200,189,4385,18700,18500,18700,18500,200,18525,18000,,,705,1267,22933,64579.0,10200,189,47,59,-12,33133,74779,-41646,-,
10/11/2023,237000000,237000000,18500,21200,15800,13400,247,4385,18400,18500,18500,18200,300,18463,18000,,,1041,1342,44911,68465.0,13400,247,56,61,-5,58311,81865,-23554,-,
09/11/2023,237000000,237000000,18500,21200,15800,18100,334,4337,19000,18300,19000,18300,700,18466,17800,-200.0,-1.08,601,1444,25783,132036.0,18100,334,73,104,-31,43883,150136,-106253,-,
08/11/2023,237000000,237000000,18300,21000,15600,16700,309,4456,18300,18800,18800,18300,500,18514,18300,500.0,2.73,1380,1887,50911,107830.0,16700,309,49,66,-17,67611,124530,-56919,-,
07/11/2023,237000000,237000000,17900,20500,15300,42400,775,4313,18000,18200,18600,18000,600,18275,17700,300.0,1.68,1372,1756,30330,108652.0,42400,775,53,86,-33,72730,151052,-78322,-,
06/11/2023,237000000,237000000,18000,20700,15300,15800,283,4266,18000,18000,18200,17700,500,17891,17500,,,884,1693,31059,75630.0,15800,283,53,54,-1,46859,91430,-44571,-,
03/11/2023,237000000,237000000,17900,20500,15300,105310,1896,4290,18200,18100,18200,17700,500,18046,17600,200.0,1.12,710,1533,22819,75364.0,1310,24,34,50,-16,24129,76674,-52545,104000,1872.0
02/11/2023,237000000,237000000,17400,20000,14800,1027200,17888,4313,17900,18200,18200,17500,700,17933,17700,800.0,4.6,1285,1463,47351,64957.0,27200,488,58,63,-5,74551,92157,-17606,1000000,17400.0
01/11/2023,237000000,237000000,17500,20100,14900,2614847,45815,4124,17600,17400,17600,17400,200,17404,16900,-100.0,-0.57,1339,1962,46799,53256.0,13447,234,45,34,11,60246,66703,-6457,2601400,45581.0
31/10/2023,237000000,237000000,18000,20700,15300,20700,362,4076,17800,17200,17800,17200,600,17465,16700,-800.0,-4.44,1008,1941,38755,84107.0,20700,362,59,54,5,59455,104807,-45352,-,
30/10/2023,237000000,237000000,18000,20700,15300,14010,253,4219,18000,17800,18200,17800,400,18024,17300,-200.0,-1.11,1109,1333,32574,64610.0,14010,253,42,59,-17,46584,78620,-32036,-,
27/10/2023,237000000,237000000,17900,20500,15300,15500,279,4266,18100,18000,18100,17800,300,18003,17500,100.0,0.56,1231,1784,53441,57661.0,15500,279,56,41,15,68941,73161,-4220,-,
26/10/2023,237000000,237000000,18500,21200,15800,50220,899,4219,18400,17800,18600,17200,1400,17911,17300,-700.0,-3.78,850,1372,60327,75977.0,50220,899,130,92,38,110547,126197,-15650,-,
25/10/2023,237000000,237000000,18500,21200,15800,14000,259,4361,18700,18400,18700,18400,300,18503,17900,-100.0,-0.54,958,1793,39630,111489.0,14000,259,56,70,-14,53630,125489,-71859,-,
24/10/2023,237000000,237000000,18600,21300,15900,9300,172,4432,18700,18700,18700,18500,200,18537,18200,100.0,0.54,981,1319,28950,65857.0,9300,172,39,57,-18,38250,75157,-36907,-,
23/10/2023,237000000,237000000,18400,21100,15700,11405,212,4408,18800,18600,18900,18300,600,18575,18100,200.0,1.09,1241,1306,55590,90481.0,11405,212,54,78,-24,66995,101886,-34891,-,
20/10/2023,237000000,237000000,18300,21000,15600,26400,486,4432,18500,18700,18700,18200,500,18400,18200,400.0,2.19,922,1280,29831,64497.0,26400,486,61,71,-10,56231,90897,-34666,-,
19/10/2023,237000000,237000000,18600,21300,15900,411605,7812,4385,18600,18500,18600,18100,500,18276,18000,-100.0,-0.54,840,1588,49713,58248.0,11605,212,73,44,29,61318,69853,-8535,400000,7600.0
18/10/2023,237000000,237000000,19200,22000,16400,427085,8105,4361,18900,18400,19000,18200,800,18648,17900,-800.0,-4.17,943,1492,54933,78829.0,27085,505,87,71,16,82018,105914,-23896,400000,7600.0
17/10/2023,237000000,237000000,19600,22500,16700,29200,562,4527,19200,19100,19700,19000,700,19234,18600,-500.0,-2.55,749,1368,27000,130879.0,29200,562,75,117,-42,56200,160079,-103879,-,
16/10/2023,237000000,237000000,18900,21700,16100,90203,1765,4622,19000,19500,20000,18800,1200,19566,19000,600.0,3.17,1295,1096,61358,109180.0,90203,1765,117,182,-65,151561,199383,-47822,-,
13/10/2023,237000000,237000000,19100,21900,16300,70800,1341,4503,19000,19000,19100,18800,300,18947,18500,-100.0,-0.52,857,1137,38931,42854.0,70800,1341,128,100,28,109731,113654,-3923,-,
12/10/2023,237000000,237000000,19000,21800,16200,35100,669,4503,19100,19000,19200,18900,300,19058,18500,,,815,1309,31701,91879.0,35100,669,82,97,-15,66801,126979,-60178,-,
11/10/2023,237000000,237000000,18900,21700,16100,20400,387,4527,18700,19100,19100,18700,400,18954,18600,200.0,1.06,531,1165,19938,73974.0,20400,387,76,81,-5,40338,94374,-54036,-,
10/10/2023,237000000,237000000,18700,21500,15900,13000,245,4432,19100,18700,19100,18700,400,18868,18200,,,486,1076,20566,68775.0,13000,245,69,76,-7,33566,81775,-48209,-,
09/10/2023,237000000,237000000,18600,21300,15900,56149,1049,4432,18500,18700,18800,18400,400,18686,18200,100.0,0.54,956,1287,19389,55779.0,56149,1049,79,87,-8,75538,111928,-36390,-,
06/10/2023,237000000,237000000,18500,21200,15800,20817,386,4408,18400,18600,18600,18400,200,18563,18100,100.0,0.54,828,935,27210,44657.0,20817,386,58,70,-12,48027,65474,-17447,-,
05/10/2023,237000000,237000000,18500,21200,15800,5000,93,4432,18700,18700,18900,18500,400,18528,18200,200.0,1.08,1134,1032,43757,51764.0,5000,93,43,55,-12,48757,56764,-8007,-,
04/10/2023,237000000,237000000,18700,21500,15900,14300,264,4408,18300,18600,18600,18300,300,18481,18100,-100.0,-0.53,870,1695,32682,77253.0,14300,264,54,54,-,46982,91553,-44571,-,
03/10/2023,237000000,237000000,18900,21700,16100,21101,394,4408,19000,18600,19000,18600,400,18671,18100,-300.0,-1.59,753,1388,17310,80242.0,21101,394,51,73,-22,38411,101343,-62932,-,
